T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
2.26000000e+00,6.20054220e-01,1.28171008e-02,5.74248046e+01,1.90145841e+01,-1.44091497e+00,1.81600953e-03,2.10251528e+00,5.95318204e-02
2.27000000e+00,5.70036288e-01,3.88686969e-02,5.68268393e+01,1.92557440e+01,-1.42253346e+00,2.89771968e-03,2.14695546e+00,9.47961085e-02
2.28000000e+00,4.43495426e-01,5.42974486e-02,8.39376201e+01,1.10594243e+01,-1.39333318e+00,3.09229134e-03,2.11269019e+00,8.29743738e-02
2.29000000e+00,2.37059516e-01,6.69058730e-02,1.11281572e+02,1.71401056e+01,-1.36698203e+00,4.02519985e-03,2.07731413e+00,1.21695502e-01
2.31000000e+00,7.94273520e-02,6.92413104e-02,9.78622746e+01,1.12266456e+01,-1.32751860e+00,2.34926445e-03,1.79703270e+00,9.90923299e-02
2.30000000e+00,1.09876618e-01,6.37551274e-02,1.16580588e+02,1.75686017e+01,-1.34424102e+00,2.45189866e-03,1.86610266e+00,1.03509262e-01
2.32000000e+00,5.21261540e-02,5.58805800e-02,8.17648272e+01,1.22794846e+01,-1.31166368e+00,2.47885206e-03,1.62981785e+00,8.64161086e-02
2.33000000e+00,2.97272780e-02,4.08996980e-02,6.26782015e+01,7.17652838e+00,-1.29524926e+00,8.72973097e-04,1.48809928e+00,4.48848891e-02
2.34000000e+00,5.76954300e-02,2.60640365e-02,5.72452995e+01,5.28278136e+00,-1.27928753e+00,1.20662737e-03,1.41381571e+00,4.08346947e-02
2.35000000e+00,4.99920000e-05,2.14181155e-02,4.44258839e+01,4.28466550e+00,-1.26553872e+00,1.02355456e-03,1.34431282e+00,2.98788458e-02
2.36000000e+00,4.25152000e-04,1.99938789e-02,4.06895848e+01,3.86431206e+00,-1.25103154e+00,9.90713771e-04,1.24430440e+00,2.77236855e-02
2.37000000e+00,-5.26257200e-03,1.52563283e-02,3.08084602e+01,2.49745784e+00,-1.23835865e+00,4.86228165e-04,1.22481342e+00,2.73061456e-02
2.38000000e+00,2.00007060e-02,1.22646656e-02,3.33022633e+01,3.48586524e+00,-1.22852136e+00,7.10696745e-04,1.18375860e+00,2.48562012e-02
2.39000000e+00,7.18461800e-03,1.20804427e-02,2.41270724e+01,2.25601168e+00,-1.21479362e+00,6.96665256e-04,1.13081591e+00,2.04396889e-02
2.40000000e+00,1.34873280e-02,1.03423258e-02,2.41899312e+01,2.03882775e+00,-1.20498121e+00,4.48474610e-04,1.12297769e+00,1.63279369e-02
2.45000000e+00,-1.33468600e-03,5.33291844e-03,1.37314409e+01,5.08751638e-01,-1.15216882e+00,3.30315077e-04,9.43526136e-01,9.53510229e-03
2.50000000e+00,2.37407800e-03,3.18277019e-03,9.07712631e+00,6.50416253e-01,-1.10551118e+00,3.12189122e-04,8.57935179e-01,1.06329053e-02
2.55000000e+00,-3.27812000e-03,2.55879681e-03,6.54548860e+00,1.08811402e-01,-1.06478921e+00,1.63868791e-04,7.72133224e-01,5.06086184e-03
2.65000000e+00,8.29982000e-04,1.39313435e-03,3.83967552e+00,7.31657148e-02,-9.94856572e-01,2.41829279e-04,6.47410471e-01,5.55000978e-03
2.60000000e+00,9.71080000e-04,2.07965722e-03,4.96440307e+00,1.53467919e-01,-1.02797467e+00,1.82366461e-04,7.05317724e-01,7.11077581e-03
2.75000000e+00,-6.20402000e-04,8.22482675e-04,2.76582483e+00,5.60564542e-02,-9.34696996e-01,1.89161623e-04,5.46142723e-01,4.32679550e-03
2.70000000e+00,1.01997000e-03,9.75688332e-04,3.20851621e+00,5.26505251e-02,-9.63656380e-01,2.23196559e-04,6.01771386e-01,4.05611011e-03
2.80000000e+00,-1.08559600e-03,9.76304055e-04,2.29169366e+00,5.57622137e-02,-9.08239120e-01,1.19018940e-04,5.14564712e-01,3.89563874e-03
2.85000000e+00,-1.00839800e-03,8.15742184e-04,2.01915002e+00,3.43165120e-02,-8.83212008e-01,1.29040820e-04,4.79504373e-01,2.61030430e-03
2.90000000e+00,-6.69346000e-04,6.53160281e-04,1.73787760e+00,4.14937265e-02,-8.59750324e-01,6.57215942e-05,4.51233274e-01,2.25450021e-03
2.95000000e+00,-8.29622000e-04,5.37696769e-04,1.57827310e+00,2.91652863e-02,-8.37894396e-01,1.49140644e-04,4.22495727e-01,1.66856767e-03
3.00000000e+00,-5.37320000e-05,5.20252155e-04,1.37368674e+00,2.49937092e-02,-8.17342372e-01,9.85186182e-05,4.03905291e-01,2.17473546e-03
3.05000000e+00,-3.52418000e-04,3.53214648e-04,1.25105052e+00,2.22156729e-02,-7.97702364e-01,6.67614382e-05,3.79529249e-01,1.97256633e-03
3.10000000e+00,-1.57428000e-04,4.15803685e-04,1.17473017e+00,1.10958248e-02,-7.79442168e-01,1.19181830e-04,3.61820660e-01,2.29378806e-03
3.25000000e+00,-2.51616000e-04,2.97016634e-04,8.83255031e-01,1.47130234e-02,-7.29268924e-01,1.15252752e-04,3.10009635e-01,1.91452664e-03
3.20000000e+00,-2.41044000e-04,2.81760456e-04,9.72403456e-01,8.89003319e-03,-7.45359388e-01,1.13497578e-04,3.26691798e-01,1.29193574e-03
3.15000000e+00,2.07666000e-04,1.97046369e-04,1.05704676e+00,1.62252880e-02,-7.61733268e-01,1.38426964e-04,3.37899409e-01,2.13918792e-03
3.30000000e+00,2.78790000e-04,3.46461473e-04,8.39330893e-01,7.44003036e-03,-7.14171844e-01,1.17594571e-04,2.96518518e-01,1.92048163e-03
3.35000000e+00,3.79160000e-05,2.19522347e-04,7.65297751e-01,8.40118415e-03,-6.99802208e-01,8.20418682e-05,2.81481092e-01,6.77165296e-04
3.40000000e+00,2.43628000e-04,2.85373724e-04,7.19455267e-01,4.13071774e-03,-6.86006580e-01,8.33387312e-05,2.69745926e-01,1.67066469e-03
3.45000000e+00,-2.96294000e-04,1.92547004e-04,6.73283633e-01,5.31481123e-03,-6.72785672e-01,9.86572771e-05,2.57001353e-01,1.21677909e-03
3.55000000e+00,-4.21060000e-05,2.27225802e-04,5.92046866e-01,4.54410726e-03,-6.47934432e-01,7.81908690e-05,2.36853713e-01,1.29414369e-03
3.50000000e+00,2.34720000e-04,2.61216532e-04,6.32479519e-01,8.91469841e-03,-6.60011340e-01,9.10151493e-05,2.45259741e-01,1.12897796e-03
3.60000000e+00,1.33682000e-04,2.16431692e-04,5.83762015e-01,4.71100111e-03,-6.36509300e-01,6.66969297e-05,2.28258819e-01,1.08416133e-03
3.65000000e+00,4.02906000e-04,1.56674192e-04,5.33391254e-01,4.21520990e-03,-6.25262504e-01,8.45238722e-05,2.20345547e-01,4.63391029e-04
3.75000000e+00,-6.95100000e-05,1.40694188e-04,4.84190551e-01,6.14157884e-03,-6.03976964e-01,8.53859326e-05,2.03983428e-01,7.94440303e-04
3.70000000e+00,-5.66980000e-05,2.15460378e-04,5.08978569e-01,2.58485359e-03,-6.14306524e-01,6.92403607e-05,2.10134839e-01,7.48987907e-04
3.85000000e+00,8.62540000e-05,2.08496881e-04,4.42471747e-01,3.66775768e-03,-5.84219352e-01,7.67936439e-05,1.87864933e-01,5.91129022e-04
3.90000000e+00,1.98488000e-04,1.30961671e-04,4.26220907e-01,3.99522364e-03,-5.75002096e-01,6.50972294e-05,1.82915246e-01,1.29013131e-03
3.80000000e+00,-7.69980000e-05,2.38950844e-04,4.66636679e-01,5.02540601e-03,-5.93935944e-01,6.52304516e-05,1.96769041e-01,6.00332296e-04
3.95000000e+00,1.07924000e-04,1.24635132e-04,4.02828122e-01,4.43454792e-03,-5.65918572e-01,6.53831272e-05,1.78066279e-01,8.50545270e-04
4.00000000e+00,-1.88640000e-05,1.64222277e-04,3.92365121e-01,1.05271238e-03,-5.57271180e-01,7.24416444e-05,1.70386066e-01,5.60817933e-04
