L,T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
64,2.19999981e+00,7.85515039e-01,1.92318751e-03,5.87240441e+00,1.93411270e+00,-1.54660456e+00,4.68867584e-04,1.41539074e+00,3.70318409e-02
64,2.20999980e+00,7.72857324e-01,1.20184858e-03,5.38066647e+00,4.05253992e-01,-1.53262689e+00,5.69187567e-04,1.46474861e+00,2.44439055e-02
64,2.21999979e+00,7.52320671e-01,1.85127516e-03,8.85070401e+00,7.85107110e-01,-1.51636191e+00,6.67889490e-04,1.59821566e+00,2.91770036e-02
64,2.23000002e+00,7.29205762e-01,4.72318018e-03,1.62907317e+01,3.77696762e+00,-1.49966172e+00,1.17123172e-03,1.72637776e+00,5.02449165e-02
64,2.24000001e+00,7.03946615e-01,3.95415664e-03,2.13130612e+01,2.88358597e+00,-1.48177988e+00,9.72862643e-04,1.84424138e+00,4.40606325e-02
64,2.25000000e+00,6.79881413e-01,4.72192612e-03,2.27021807e+01,3.20967048e+00,-1.46345618e+00,9.89554361e-04,1.90999165e+00,5.78805465e-02
64,2.25999999e+00,6.52528711e-01,5.71838658e-03,2.70898279e+01,3.26159483e+00,-1.44583932e+00,1.28950938e-03,1.97255148e+00,3.96494253e-02
64,2.26999998e+00,5.90774772e-01,7.75878000e-03,4.85486324e+01,3.99923649e+00,-1.42149069e+00,1.65343601e-03,2.18353522e+00,4.03352512e-02
64,2.27999997e+00,5.37766406e-01,6.50948234e-03,6.21101999e+01,2.68965432e+00,-1.39891328e+00,1.30135146e-03,2.28178323e+00,2.88760531e-02
64,2.28999996e+00,4.81076660e-01,8.87922629e-03,6.69450593e+01,2.92163116e+00,-1.37598717e+00,1.44592058e-03,2.23549520e+00,3.50548212e-02
64,2.29999995e+00,4.43506901e-01,8.71799973e-03,6.50373224e+01,2.76680937e+00,-1.35737715e+00,1.35350157e-03,2.07074355e+00,3.15764171e-02
64,2.30999994e+00,3.82942904e-01,7.05818372e-03,6.81898771e+01,1.53349028e+00,-1.33579447e+00,1.04745829e-03,1.98013299e+00,2.58624912e-02
64,2.31999993e+00,3.32783171e-01,7.23912980e-03,5.84351182e+01,1.19992349e+00,-1.31532038e+00,1.07017652e-03,1.74450738e+00,2.73453764e-02
64,2.32999992e+00,3.01771582e-01,7.92695855e-03,5.54128207e+01,1.33822364e+00,-1.29932038e+00,9.80539110e-04,1.67367641e+00,3.72949719e-02
64,2.33999991e+00,2.72046289e-01,5.56012254e-03,4.92427168e+01,1.22452389e+00,-1.28263978e+00,6.89378721e-04,1.54557367e+00,3.20624907e-02
64,2.34999990e+00,2.34936003e-01,4.48133034e-03,4.05985844e+01,1.15571653e+00,-1.26697526e+00,6.87344680e-04,1.41478764e+00,2.83610001e-02
64,2.35999990e+00,2.18799154e-01,5.15249655e-03,3.65869853e+01,1.32458635e+00,-1.25398574e+00,6.05034026e-04,1.34636363e+00,2.23848422e-02
