L,T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
128,3.75000000e+00,1.39900228e-02,7.40758039e-05,4.77347276e-01,5.24126697e-03,-6.03942773e-01,9.94571010e-05,2.01335257e-01,2.19763032e-03
128,3.80000019e+00,1.36142904e-02,1.10024791e-04,4.52286203e-01,6.78970559e-03,-5.94075016e-01,9.43784053e-05,1.98851744e-01,2.38520611e-03
128,3.84999990e+00,1.35847982e-02,7.56088627e-05,4.51060947e-01,5.44946267e-03,-5.84222738e-01,1.04218685e-04,1.91425364e-01,2.19589895e-03
128,3.90000010e+00,1.34196289e-02,7.96745812e-05,4.26410445e-01,6.28042669e-03,-5.74923161e-01,7.24683457e-05,1.84955729e-01,1.82468596e-03
128,3.95000005e+00,1.29796549e-02,8.12977949e-05,3.98133992e-01,5.88165163e-03,-5.66193424e-01,1.22931570e-04,1.77748473e-01,2.50514005e-03
128,4.00000000e+00,1.29296143e-02,6.05048509e-05,3.88531546e-01,5.13682073e-03,-5.57267529e-01,7.51691332e-05,1.73415892e-01,1.90016359e-03
256,1.00000000e+00,9.99276687e-01,1.44818794e-06,1.52935419e-03,1.90700732e-05,-1.99716351e+00,5.53320868e-06,2.27861003e-02,2.70773034e-04
256,1.04999995e+00,9.98921958e-01,1.20003237e-06,2.25505384e-03,2.08307189e-05,-1.99579312e+00,4.70132305e-06,3.13742179e-02,3.12782691e-04
256,1.10000002e+00,9.98448745e-01,2.60873331e-06,3.19163230e-03,3.37012628e-05,-1.99397698e+00,1.01074742e-05,4.17274585e-02,3.95246160e-04
256,1.14999998e+00,9.97818738e-01,2.64856980e-06,4.35630503e-03,5.33945093e-05,-1.99158234e+00,9.91110125e-06,5.31542609e-02,6.77071820e-04
256,1.20000005e+00,9.97026211e-01,2.99172495e-06,5.91506765e-03,6.31566987e-05,-1.98859749e+00,1.12521706e-05,6.71932937e-02,7.08582223e-04
256,1.25000000e+00,9.96018809e-01,2.65457540e-06,7.79352890e-03,8.47480082e-05,-1.98484786e+00,1.05851274e-05,8.28367042e-02,8.53706889e-04
256,1.29999995e+00,9.94772595e-01,3.15153512e-06,9.96973635e-03,1.56229607e-04,-1.98026297e+00,1.17590324e-05,9.86178431e-02,1.48785564e-03
256,1.35000002e+00,9.93241156e-01,5.00768888e-06,1.29659808e-02,1.05594092e-04,-1.97470649e+00,1.71377529e-05,1.20451940e-01,9.91439735e-04
256,1.39999998e+00,9.91389237e-01,5.17862268e-06,1.69281794e-02,1.54636363e-04,-1.96808809e+00,1.89229368e-05,1.45352759e-01,1.26925737e-03
256,1.45000005e+00,9.89152397e-01,5.30943380e-06,2.13363581e-02,2.78221994e-04,-1.96024064e+00,1.87811578e-05,1.69649428e-01,2.07210013e-03
256,1.50000000e+00,9.86496171e-01,8.30200826e-06,2.71378744e-02,2.50794840e-04,-1.95110458e+00,2.46572500e-05,1.96446255e-01,1.91388348e-03
256,1.54999995e+00,9.83344708e-01,6.15067819e-06,3.48706267e-02,4.07660256e-04,-1.94048540e+00,1.81404552e-05,2.31526037e-01,2.86776524e-03
256,1.60000002e+00,9.79624648e-01,7.21265665e-06,4.17789810e-02,3.89763116e-04,-1.92824974e+00,2.40028812e-05,2.56874197e-01,2.91520506e-03
256,1.65000010e+00,9.75234015e-01,6.95722274e-06,5.47687810e-02,7.14394541e-04,-1.91420826e+00,2.09109895e-05,2.99939094e-01,3.57237851e-03
256,1.70000005e+00,9.70089648e-01,1.03943438e-05,6.83556213e-02,8.19349738e-04,-1.89819885e+00,2.94904845e-05,3.38050236e-01,3.70444617e-03
256,1.75000000e+00,9.64021381e-01,1.33630149e-05,8.69933370e-02,9.26621135e-04,-1.87997704e+00,3.49291762e-05,3.85912377e-01,4.36708544e-03
256,1.79999995e+00,9.56857756e-01,1.48834093e-05,1.14217518e-01,1.01534472e-03,-1.85927614e+00,4.12870063e-05,4.39236484e-01,4.46380026e-03
256,1.85000002e+00,9.48413180e-01,2.59890134e-05,1.45233415e-01,1.44306761e-03,-1.83600295e+00,5.68386999e-05,4.87719056e-01,5.14572609e-03
256,1.90000010e+00,9.38329240e-01,1.61798441e-05,1.97532704e-01,2.08016165e-03,-1.80956624e+00,3.17481298e-05,5.59717897e-01,6.34924469e-03
256,1.95000005e+00,9.26164612e-01,2.20466693e-05,2.69577896e-01,3.87612180e-03,-1.77957528e+00,4.89568774e-05,6.30037418e-01,7.51416623e-03
256,2.00000000e+00,9.11289807e-01,2.39879004e-05,3.79221998e-01,3.68736560e-03,-1.74548813e+00,4.49425359e-05,7.14805460e-01,6.21024571e-03
256,2.05000019e+00,8.92812915e-01,4.06595766e-05,5.87381479e-01,5.16459266e-03,-1.70682031e+00,6.42489306e-05,8.43861503e-01,7.72091214e-03
256,2.09999990e+00,8.68774211e-01,5.36063231e-05,9.50198416e-01,1.17907820e-02,-1.66201475e+00,5.87732241e-05,9.59239335e-01,1.16507010e-02
256,2.10999990e+00,8.63101542e-01,6.61938194e-05,1.07774389e+00,1.37645075e-02,-1.65245630e+00,6.34200950e-05,9.97484561e-01,9.69537128e-03
256,2.11999989e+00,8.56886477e-01,5.83658608e-05,1.20262753e+00,1.12311585e-02,-1.64219015e+00,6.90196093e-05,1.01189464e+00,1.19957568e-02
256,2.12999988e+00,8.50446098e-01,1.09824553e-04,1.34060474e+00,2.12575783e-02,-1.63180867e+00,9.48606246e-05,1.04329380e+00,1.03146550e-02
256,2.13999987e+00,8.43286155e-01,8.03595722e-05,1.56352146e+00,2.93741989e-02,-1.62090543e+00,7.33158053e-05,1.10102231e+00,1.40902643e-02
256,2.14999986e+00,8.35987195e-01,1.07015886e-04,1.80017786e+00,2.52047134e-02,-1.60988050e+00,9.00156470e-05,1.16301348e+00,1.08401992e-02
256,2.15999985e+00,8.27600411e-01,9.72329016e-05,2.09152118e+00,2.66484920e-02,-1.59814995e+00,7.32474691e-05,1.16545902e+00,1.01339194e-02
256,2.16999984e+00,8.18286043e-01,1.02322064e-04,2.48891486e+00,4.06667198e-02,-1.58592088e+00,7.95185333e-05,1.23345763e+00,1.58269470e-02
256,2.17999983e+00,8.08231413e-01,1.69816126e-04,3.20067742e+00,8.77312766e-02,-1.57337302e+00,8.66867039e-05,1.29540775e+00,1.57299228e-02
256,2.18999982e+00,7.97491125e-01,1.87722774e-04,3.58846609e+00,4.51239834e-02,-1.56035297e+00,1.10228307e-04,1.34680281e+00,1.17220100e-02
256,2.19999981e+00,7.84688959e-01,2.81403770e-04,4.77438888e+00,1.65449317e-01,-1.54641077e+00,1.24824931e-04,1.41736878e+00,2.14271163e-02
256,2.20999980e+00,7.70517008e-01,3.24041008e-04,6.20106114e+00,2.83003954e-01,-1.53201718e+00,1.26625767e-04,1.45508096e+00,1.21294716e-02
256,2.21999979e+00,7.54358073e-01,4.86019727e-04,8.45569325e+00,5.57911138e-01,-1.51681835e+00,1.74881395e-04,1.59003151e+00,2.13924131e-02
256,2.23000002e+00,7.33213275e-01,7.89142088e-04,1.29338478e+01,8.25986846e-01,-1.50016331e+00,1.78649895e-04,1.65548304e+00,2.32228978e-02
256,2.24000001e+00,7.07420935e-01,1.84970420e-03,2.05634005e+01,3.13036723e+00,-1.48235225e+00,3.06529847e-04,1.79144390e+00,2.77852000e-02
256,2.25000000e+00,6.72109279e-01,1.65971742e-03,3.66880136e+01,2.27855820e+00,-1.46292787e+00,2.96227351e-04,2.02085765e+00,1.95089531e-02
256,2.25999999e+00,5.98213700e-01,2.29014676e-02,1.51579450e+02,6.51427325e+01,-1.44041342e+00,1.30914167e-03,2.28263640e+00,8.37706330e-02
256,2.26999998e+00,4.99263635e-01,1.57476634e-02,2.75802188e+02,5.69375103e+01,-1.41436881e+00,1.02676381e-03,2.54886858e+00,8.06428755e-02
256,2.27999997e+00,3.61637408e-01,3.03144332e-02,2.94311519e+02,3.90935116e+01,-1.38849297e+00,1.48809442e-03,2.21699078e+00,8.78975017e-02
256,2.28999996e+00,2.14016486e-01,1.57526197e-02,3.76831353e+02,4.06314162e+01,-1.36310122e+00,6.24267909e-04,2.06354130e+00,7.68468236e-02
256,2.29999995e+00,1.36452527e-01,1.03290953e-02,2.40326672e+02,2.52149839e+01,-1.34261038e+00,5.20861462e-04,1.80384364e+00,3.07515476e-02
256,2.30999994e+00,1.01349986e-01,4.82113410e-03,1.45221732e+02,1.22828596e+01,-1.32462362e+00,2.50950705e-04,1.66445592e+00,2.45132091e-02
256,2.31999993e+00,8.48036255e-02,4.22734701e-03,1.10253768e+02,1.01805159e+01,-1.30870054e+00,2.04693342e-04,1.53908059e+00,2.08674573e-02
256,2.32999992e+00,7.26728536e-02,1.88128875e-03,8.49923048e+01,5.47790089e+00,-1.29358352e+00,1.57223805e-04,1.48206276e+00,1.40800796e-02
256,2.33999991e+00,6.39127340e-02,1.37563922e-03,6.53301333e+01,2.98281374e+00,-1.27911875e+00,1.93799815e-04,1.40987333e+00,2.42442623e-02
256,2.34999990e+00,5.90104696e-02,1.39635599e-03,5.37814871e+01,2.44036773e+00,-1.26539716e+00,1.03462768e-04,1.34999729e+00,1.68579776e-02
256,2.35999990e+00,5.43406189e-02,1.18335646e-03,4.44441097e+01,1.76769855e+00,-1.25207994e+00,1.02994219e-04,1.27917068e+00,1.05384510e-02
256,2.36999989e+00,5.08446493e-02,1.04770545e-03,3.89692565e+01,1.91318361e+00,-1.23959164e+00,1.20572788e-04,1.25092224e+00,1.76132193e-02
256,2.37999988e+00,4.41597799e-02,8.52537284e-04,3.06628715e+01,1.12679542e+00,-1.22722038e+00,1.80575285e-04,1.20758681e+00,1.33375102e-02
256,2.38999987e+00,4.10655172e-02,5.78254269e-04,2.58018855e+01,9.39015704e-01,-1.21568261e+00,7.82441824e-05,1.16306782e+00,1.07458162e-02
256,2.39999986e+00,3.94483154e-02,4.57772050e-04,2.39956086e+01,8.62080723e-01,-1.20400756e+00,1.02873779e-04,1.13209880e+00,1.42986712e-02
256,2.45000005e+00,2.97402974e-02,3.50597389e-04,1.35685216e+01,3.45692806e-01,-1.15179781e+00,7.58101589e-05,9.45905182e-01,1.08202593e-02
256,2.50000000e+00,2.45643921e-02,2.01455542e-04,9.01521389e+00,2.09798385e-01,-1.10606425e+00,7.70332448e-05,8.67875923e-01,9.44059320e-03
256,2.54999995e+00,2.11620321e-02,1.49314748e-04,6.51749102e+00,1.01591283e-01,-1.06521631e+00,6.94105202e-05,7.70744912e-01,1.12134787e-02
256,2.60000014e+00,1.87632528e-02,9.91114754e-05,5.02371430e+00,5.96835998e-02,-1.02838998e+00,5.93242266e-05,6.98460404e-01,9.37749717e-03
256,2.65000010e+00,1.66494242e-02,1.35085300e-04,4.00334862e+00,5.45625513e-02,-9.94537419e-01,8.01427904e-05,6.45981726e-01,8.61907770e-03
256,2.70000005e+00,1.53419779e-02,1.08692562e-04,3.19778519e+00,4.00988278e-02,-9.63521924e-01,6.43876231e-05,6.00135807e-01,5.98947798e-03
256,2.75000000e+00,1.40409424e-02,8.99692951e-05,2.70133466e+00,3.59586547e-02,-9.34943107e-01,4.71069572e-05,5.56568691e-01,7.08897766e-03
256,2.79999995e+00,1.31858927e-02,7.84972776e-05,2.29101357e+00,3.50492760e-02,-9.08036646e-01,4.84085765e-05,5.20814573e-01,6.90610942e-03
256,2.85000014e+00,1.22272685e-02,7.55970687e-05,1.94910725e+00,2.11914913e-02,-8.83134733e-01,6.93447433e-05,4.80005032e-01,6.77994797e-03
256,2.90000010e+00,1.16589172e-02,5.50533024e-05,1.76757295e+00,2.93989551e-02,-8.59944218e-01,7.60540461e-05,4.43220466e-01,4.20937515e-03
256,2.95000005e+00,1.10008626e-02,5.52677962e-05,1.53005373e+00,1.83208099e-02,-8.37908276e-01,7.82790243e-05,4.25592699e-01,4.67891800e-03
256,3.00000000e+00,1.05975444e-02,4.80146607e-05,1.37636937e+00,1.85054955e-02,-8.17191121e-01,7.69211542e-05,4.04613416e-01,4.69102525e-03
256,3.05000019e+00,1.01647786e-02,7.15175234e-05,1.26157668e+00,1.55819115e-02,-7.97807487e-01,6.78466273e-05,3.83488989e-01,2.31291691e-03
256,3.10000014e+00,9.90709839e-03,6.25474309e-05,1.17648430e+00,1.60073076e-02,-7.79331620e-01,3.43723323e-05,3.55854949e-01,4.71958642e-03
256,3.15000010e+00,9.34822998e-03,6.46025853e-05,1.05201265e+00,1.40456988e-02,-7.61880497e-01,5.95336989e-05,3.34101746e-01,3.80490136e-03
256,3.20000005e+00,9.13471680e-03,4.52242545e-05,9.54423260e-01,1.34174089e-02,-7.45136011e-01,4.43568477e-05,3.27500303e-01,4.18042699e-03
256,3.25000000e+00,8.86401978e-03,5.89190036e-05,8.95301769e-01,1.09570781e-02,-7.29319027e-01,3.93882828e-05,3.09963755e-01,2.94237401e-03
256,3.30000019e+00,8.52792562e-03,5.01792807e-05,8.19984104e-01,1.10749924e-02,-7.14214152e-01,4.49937610e-05,2.98756013e-01,3.97844687e-03
256,3.35000014e+00,8.28590902e-03,5.41923424e-05,7.65789625e-01,1.12837620e-02,-6.99716471e-01,5.48500997e-05,2.84512548e-01,3.64961401e-03
256,3.40000010e+00,8.09056600e-03,5.01043875e-05,7.08467160e-01,1.11305393e-02,-6.86034302e-01,5.93937339e-05,2.69616144e-01,2.35865946e-03
256,3.45000005e+00,7.89875081e-03,5.48724962e-05,6.83967533e-01,8.68146913e-03,-6.72783390e-01,6.77596960e-05,2.54354978e-01,2.87222500e-03
256,3.50000000e+00,7.77407837e-03,3.65884817e-05,6.36630152e-01,7.06057937e-03,-6.60094861e-01,5.30439733e-05,2.42983587e-01,2.22949599e-03
256,3.55000019e+00,7.51409505e-03,4.66715578e-05,5.91057638e-01,6.36190794e-03,-6.48013420e-01,4.38546510e-05,2.38106855e-01,1.93624909e-03
256,3.59999990e+00,7.44061076e-03,4.93455224e-05,5.77832775e-01,6.73849799e-03,-6.36340881e-01,4.59305026e-05,2.28876060e-01,2.43934037e-03
256,3.65000010e+00,7.29541423e-03,6.83694948e-05,5.47091014e-01,6.51919103e-03,-6.25111959e-01,5.71516637e-05,2.19695235e-01,1.99404817e-03
256,3.70000005e+00,7.06015625e-03,2.96850547e-05,5.03934991e-01,6.47102492e-03,-6.14253613e-01,6.28394723e-05,2.12066564e-01,1.99512447e-03
256,3.75000000e+00,6.99763997e-03,4.20530419e-05,4.91355023e-01,5.74391350e-03,-6.03946871e-01,5.87031832e-05,2.05737356e-01,3.32210456e-03
256,3.80000019e+00,6.87821452e-03,4.13712108e-05,4.58896767e-01,7.28236760e-03,-5.93854378e-01,5.21836284e-05,1.99212028e-01,1.66213182e-03
256,3.84999990e+00,6.76039836e-03,3.23576658e-05,4.49703806e-01,7.34924758e-03,-5.84265332e-01,5.63771857e-05,1.90938226e-01,2.48784362e-03
256,3.90000010e+00,6.61714274e-03,4.21921753e-05,4.24596114e-01,7.35810655e-03,-5.75055367e-01,7.19310990e-05,1.82835400e-01,2.38574822e-03
256,3.95000005e+00,6.51670329e-03,4.53524698e-05,4.05139346e-01,6.55394201e-03,-5.66045829e-01,5.10819574e-05,1.77989930e-01,1.53889069e-03
256,4.00000000e+00,6.38624674e-03,3.95690894e-05,3.78523288e-01,6.45503482e-03,-5.57264441e-01,4.75569156e-05,1.71931099e-01,1.37392157e-03
512,1.00000000e+00,9.99275442e-01,5.37771601e-07,1.55618186e-03,1.73469655e-05,-1.99715890e+00,2.06045219e-06,2.31674746e-02,2.40991744e-04
512,1.04999995e+00,9.98921465e-01,7.28700809e-07,2.25473670e-03,2.38598669e-05,-1.99579120e+00,2.72370510e-06,3.14701753e-02,3.69389550e-04
512,1.10000002e+00,9.98447914e-01,8.12721408e-07,3.05247128e-03,2.81202687e-05,-1.99397397e+00,3.11130156e-06,3.98917001e-02,3.54657026e-04
512,1.14999998e+00,9.97822175e-01,1.41245926e-06,4.47703277e-03,4.88785446e-05,-1.99159411e+00,5.12395158e-06,5.47988602e-02,5.68702778e-04
512,1.20000005e+00,9.97026149e-01,1.95219998e-06,6.00545135e-03,5.95219021e-05,-1.98859749e+00,6.96914209e-06,6.85087431e-02,6.57590744e-04
512,1.25000000e+00,9.96017417e-01,1.37826746e-06,7.66414362e-03,8.47605240e-05,-1.98484306e+00,5.37446966e-06,8.16016235e-02,9.06453037e-04
512,1.29999995e+00,9.94770521e-01,1.80264228e-06,1.02240730e-02,1.31768549e-04,-1.98025467e+00,6.45672662e-06,1.01599868e-01,1.39645318e-03
512,1.35000002e+00,9.93242079e-01,2.35925745e-06,1.30822421e-02,1.57598867e-04,-1.97471320e+00,8.64873118e-06,1.21028371e-01,1.54754511e-03
512,1.39999998e+00,9.91388123e-01,2.14567235e-06,1.68871689e-02,1.71170955e-04,-1.96809336e+00,7.64330125e-06,1.45386129e-01,1.53878745e-03
512,1.45000005e+00,9.89154973e-01,2.77205657e-06,2.12921712e-02,2.11707405e-04,-1.96025543e+00,1.02916040e-05,1.67921232e-01,1.75584108e-03
512,1.50000000e+00,9.86500975e-01,3.15441428e-06,2.70055563e-02,3.13280065e-04,-1.95111602e+00,1.07784704e-05,1.97666485e-01,2.68146741e-03
512,1.54999995e+00,9.83343474e-01,3.06268831e-06,3.41115042e-02,3.62230014e-04,-1.94048300e+00,9.82515119e-06,2.26783601e-01,2.37640699e-03
512,1.60000002e+00,9.79625384e-01,3.28932572e-06,4.23372332e-02,3.55998774e-04,-1.92824240e+00,1.03119754e-05,2.59999501e-01,2.51332707e-03
512,1.65000010e+00,9.75252010e-01,5.77516798e-06,5.46672362e-02,6.27871343e-04,-1.91424494e+00,1.59250795e-05,3.01853903e-01,3.72064818e-03
512,1.70000005e+00,9.70073692e-01,6.70758741e-06,6.73976145e-02,8.22086777e-04,-1.89816918e+00,2.00363129e-05,3.32598643e-01,4.01193450e-03
512,1.75000000e+00,9.64006611e-01,6.22564677e-06,8.75743937e-02,6.31415683e-04,-1.87995690e+00,1.89839265e-05,3.85786080e-01,3.03159099e-03
512,1.79999995e+00,9.56862008e-01,7.60195752e-06,1.13786338e-01,9.79819807e-04,-1.85931521e+00,2.30667710e-05,4.42352611e-01,4.82922353e-03
512,1.85000002e+00,9.48391251e-01,9.35239858e-06,1.48913500e-01,1.24215417e-03,-1.83592857e+00,2.65809635e-05,4.95253322e-01,4.64019368e-03
512,1.90000010e+00,9.38306576e-01,1.11961056e-05,1.93698636e-01,2.80080654e-03,-1.80948801e+00,2.38848630e-05,5.49508638e-01,6.95714185e-03
512,1.95000005e+00,9.26158045e-01,1.21242756e-05,2.68038557e-01,2.77098203e-03,-1.77952366e+00,2.54308626e-05,6.29518593e-01,5.42897982e-03
512,2.00000000e+00,9.11307682e-01,1.03232896e-05,3.89023173e-01,3.88878067e-03,-1.74553017e+00,1.94881850e-05,7.31161582e-01,8.72650741e-03
512,2.05000019e+00,8.92782843e-01,2.05549479e-05,5.72682969e-01,6.98137153e-03,-1.70680253e+00,2.91395708e-05,8.21603596e-01,9.07146014e-03
512,2.09999990e+00,8.68759936e-01,3.15787320e-05,9.47322396e-01,6.06818534e-03,-1.66207857e+00,2.65898969e-05,9.59972473e-01,8.92502017e-03
512,2.10999990e+00,8.63072733e-01,2.77721930e-05,1.04180483e+00,1.42899149e-02,-1.65232904e+00,2.70908547e-05,9.74159112e-01,1.01245272e-02
512,2.11999989e+00,8.56932404e-01,3.06869046e-05,1.19852667e+00,1.78752266e-02,-1.64219345e+00,3.20327699e-05,1.03825439e+00,1.19793800e-02
512,2.12999988e+00,8.50393399e-01,3.77220174e-05,1.39262352e+00,2.31844434e-02,-1.63174508e+00,2.91835002e-05,1.08452556e+00,1.18945196e-02
512,2.13999987e+00,8.43354727e-01,4.30895939e-05,1.58715787e+00,2.42600584e-02,-1.62096397e+00,3.46772738e-05,1.10904851e+00,1.55751514e-02
512,2.14999986e+00,8.35759868e-01,5.01412989e-05,1.76056613e+00,2.18333841e-02,-1.60973498e+00,4.56986567e-05,1.09982819e+00,1.34053590e-02
512,2.15999985e+00,8.27569194e-01,5.93195652e-05,2.14281543e+00,4.81269450e-02,-1.59820968e+00,3.36718982e-05,1.20944553e+00,1.50454288e-02
512,2.16999984e+00,8.18453154e-01,8.79462789e-05,2.56332164e+00,4.48438654e-02,-1.58601990e+00,5.61443565e-05,1.23641421e+00,1.34964924e-02
512,2.17999983e+00,8.08446486e-01,6.71693943e-05,3.01236124e+00,6.23418099e-02,-1.57344307e+00,3.68670123e-05,1.27174527e+00,2.00688030e-02
512,2.18999982e+00,7.97289378e-01,1.19882663e-04,3.75801547e+00,8.06038390e-02,-1.56028576e+00,5.11906832e-05,1.32848544e+00,1.33932721e-02
512,2.19999981e+00,7.84661308e-01,1.90065592e-04,4.86670674e+00,1.33273622e-01,-1.54649335e+00,6.60967699e-05,1.40732216e+00,1.54254803e-02
512,2.20999980e+00,7.70201807e-01,2.44998125e-04,6.42849008e+00,2.32311544e-01,-1.53193862e+00,8.76007121e-05,1.47309811e+00,1.89060286e-02
512,2.21999979e+00,7.53926219e-01,3.51702776e-04,8.88921894e+00,3.72860283e-01,-1.51670336e+00,9.27248310e-05,1.58746901e+00,2.19232701e-02
512,2.23000002e+00,7.32519867e-01,4.54822982e-04,1.39600782e+01,5.46357961e-01,-1.50012179e+00,1.33040116e-04,1.70907917e+00,1.99621093e-02
512,2.24000001e+00,7.08204524e-01,4.91212653e-04,1.87495975e+01,9.96608908e-01,-1.48261439e+00,8.60244816e-05,1.83463085e+00,3.16218233e-02
512,2.25000000e+00,6.67515962e-01,4.36263219e-03,6.33824267e+01,2.08965973e+01,-1.46284316e+00,3.59002796e-04,2.03660566e+00,6.94311664e-02
512,2.25999999e+00,6.19697281e-01,3.13405966e-03,7.04589311e+01,6.49578027e+00,-1.44153479e+00,3.04290219e-04,2.17886981e+00,4.78467858e-02
512,2.26999998e+00,5.20383429e-01,1.05769634e-02,3.93677667e+02,1.69627154e+02,-1.41613828e+00,6.50994953e-04,2.46167539e+00,1.47043803e-01
512,2.27999997e+00,2.94677101e-01,2.10721942e-02,1.14014803e+03,1.75703687e+02,-1.38730605e+00,7.22859474e-04,2.33117606e+00,8.47098697e-02
512,2.28999996e+00,1.27765298e-01,9.32659898e-03,7.13631417e+02,8.82319697e+01,-1.36266043e+00,2.65219647e-04,2.03302351e+00,6.00716861e-02
512,2.29999995e+00,6.74385803e-02,4.29657622e-03,2.34338987e+02,3.58199459e+01,-1.34290232e+00,1.66455565e-04,1.79407701e+00,2.60888430e-02
512,2.30999994e+00,5.38882746e-02,2.59836440e-03,1.73739500e+02,1.51756816e+01,-1.32522084e+00,1.31420239e-04,1.69638611e+00,3.07552485e-02
512,2.31999993e+00,4.60636470e-02,1.92885957e-03,1.14877867e+02,8.32460532e+00,-1.30907047e+00,1.18632101e-04,1.55918691e+00,2.06628109e-02
512,2.32999992e+00,3.58280207e-02,1.19124137e-03,7.91178019e+01,6.24714907e+00,-1.29376600e+00,1.07529430e-04,1.47841410e+00,1.77875048e-02
512,2.33999991e+00,3.16920705e-02,8.61548988e-04,5.89671889e+01,2.93045558e+00,-1.27910501e+00,6.01629049e-05,1.41482535e+00,1.74887549e-02
512,2.34999990e+00,2.94833852e-02,7.40206855e-04,5.21524836e+01,2.59123177e+00,-1.26537338e+00,9.70172717e-05,1.34914000e+00,1.19347568e-02
512,2.35999990e+00,2.60047836e-02,1.02733986e-03,4.22966927e+01,2.70052311e+00,-1.25217897e+00,8.00029916e-05,1.29443485e+00,1.25702264e-02
512,2.36999989e+00,2.46120204e-02,5.04612881e-04,3.80122992e+01,1.51511251e+00,-1.23943745e+00,8.27305542e-05,1.26731766e+00,1.70955619e-02
512,2.37999988e+00,2.21465434e-02,3.70142431e-04,2.98729343e+01,1.03850184e+00,-1.22718503e+00,5.81740124e-05,1.16299735e+00,1.34644028e-02
512,2.38999987e+00,2.08035868e-02,2.62391523e-04,2.68342720e+01,6.88729556e-01,-1.21548180e+00,5.01751887e-05,1.16921259e+00,1.59639528e-02
512,2.39999986e+00,1.98826182e-02,3.67609419e-04,2.28349455e+01,8.16273977e-01,-1.20399042e+00,3.87713301e-05,1.09761706e+00,1.22788176e-02
512,2.45000005e+00,1.49432902e-02,1.82972767e-04,1.36235048e+01,3.32013406e-01,-1.15176009e+00,5.27074494e-05,9.80325194e-01,6.78529186e-03
512,2.50000000e+00,1.22598979e-02,1.48463466e-04,8.73391330e+00,1.79288279e-01,-1.10611926e+00,4.00437159e-05,8.57113278e-01,6.18873106e-03
512,2.54999995e+00,1.06456640e-02,7.48043614e-05,6.61872362e+00,1.31064458e-01,-1.06523192e+00,3.95053149e-05,7.70441973e-01,8.17213550e-03
512,2.60000014e+00,9.31018473e-03,6.56187058e-05,5.02801852e+00,8.63194153e-02,-1.02832100e+00,3.39521014e-05,7.10021382e-01,7.43673947e-03
512,2.65000010e+00,8.35754496e-03,4.87603756e-05,3.91824368e+00,3.60660506e-02,-9.94516517e-01,2.37669812e-05,6.42590862e-01,7.23635094e-03
512,2.70000005e+00,7.63070831e-03,5.68977735e-05,3.20104473e+00,3.92913926e-02,-9.63552045e-01,3.06566400e-05,6.03052736e-01,6.69559123e-03
512,2.75000000e+00,7.06031596e-03,3.55285937e-05,2.67056128e+00,3.43695735e-02,-9.34850829e-01,2.02784895e-05,5.50907250e-01,5.44696363e-03
512,2.79999995e+00,6.59691264e-03,3.68394293e-05,2.30481932e+00,2.84607349e-02,-9.08062151e-01,3.51310330e-05,5.12691533e-01,7.34276282e-03
512,2.85000014e+00,6.19496613e-03,3.59251255e-05,1.99817878e+00,1.76927565e-02,-8.83208403e-01,3.44435326e-05,4.78284542e-01,5.76701803e-03
512,2.90000010e+00,5.81868642e-03,4.06179177e-05,1.75252090e+00,2.54438438e-02,-8.59885359e-01,4.13627164e-05,4.58535595e-01,4.84556799e-03
512,2.95000005e+00,5.54003754e-03,3.23150170e-05,1.57369460e+00,2.54693338e-02,-8.37968444e-01,3.83330133e-05,4.20085457e-01,7.59556926e-03
512,3.00000000e+00,5.31301168e-03,3.49063605e-05,1.38244315e+00,1.82204561e-02,-8.17320891e-01,2.87145189e-05,4.12242265e-01,5.36732906e-03
512,3.05000019e+00,5.07912699e-03,3.00887932e-05,1.25400945e+00,1.37236335e-02,-7.97838057e-01,2.96489396e-05,3.78434846e-01,3.43088933e-03
512,3.10000014e+00,4.86981659e-03,2.81181384e-05,1.14287874e+00,1.61858132e-02,-7.79293507e-01,2.14459059e-05,3.69089982e-01,2.68145781e-03
512,3.15000010e+00,4.69771372e-03,2.62787462e-05,1.04295954e+00,1.44724203e-02,-7.61767157e-01,2.45275114e-05,3.41170811e-01,3.39326424e-03
512,3.20000005e+00,4.55453847e-03,2.57876562e-05,9.72249631e-01,1.30467443e-02,-7.45145903e-01,2.59320219e-05,3.21713935e-01,3.25550450e-03
512,3.25000000e+00,4.37802327e-03,3.24223425e-05,8.94238467e-01,1.19835554e-02,-7.29259760e-01,3.23427642e-05,3.07733307e-01,2.84360648e-03
512,3.30000019e+00,4.22177887e-03,2.60867776e-05,8.24356632e-01,9.67096716e-03,-7.14214328e-01,2.85187181e-05,2.95705750e-01,3.21738067e-03
512,3.35000014e+00,4.17557983e-03,2.27344705e-05,7.82631747e-01,1.12773667e-02,-6.99726960e-01,2.94748146e-05,2.83908141e-01,2.57435693e-03
512,3.40000010e+00,4.07971090e-03,2.17289960e-05,7.35897557e-01,8.49739073e-03,-6.85988038e-01,2.39673105e-05,2.68763116e-01,3.20563029e-03
512,3.45000005e+00,3.96929474e-03,2.19960243e-05,6.78741218e-01,6.85363205e-03,-6.72780306e-01,3.82501849e-05,2.59766754e-01,2.69535158e-03
512,3.50000000e+00,3.87667084e-03,2.53479664e-05,6.39205211e-01,9.45801218e-03,-6.60107853e-01,3.69300374e-05,2.43297369e-01,2.57131557e-03
